Product Name,Supplier,Lead Time (days),Supplier Code,Preferred Supplier,Comment,Website
ADDITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,A13b,,,
ADDITIONAL CHARGE FOR BRIDGED OR ARCHED WAIST,REED MEDICAL LIMITED,27,A14,,,
ADDITIONAL PADDING,REED MEDICAL LIMITED,27,A15,,,
HIGH OR ELONGATED STIFFENER UP TO 150mm TO ONE SIDE OF UPPER,REED MEDICAL LIMITED,27,A16,,,
HIGH BOOT UPPERS EACH ADDITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,A17,,,
LAMBSWOOL LINING,REED MEDICAL LIMITED,27,A18A,,,
ADDITIONAL LAMBSWOOL LINING 25mm,REED MEDICAL LIMITED,27,A18b,,,
METATARSAL SUPPORT BAR,REED MEDICAL LIMITED,27,A19,,,
ADDITIONAL RELASTING OF SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,32,A1G,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT,REED MEDICAL LIMITED,32,A1h,,,
NEW SHOE UPPERS REQUIRED FOLLOWING MID FIT,REED MEDICAL LIMITED,32,A1J,,,
1x BOOT/SHOE MANUFACTURED TO CAST,REED MEDICAL LIMITED,32,A1K,,,
WELTED CONSTRUCTION TO SOLES (PAIR),REED MEDICAL LIMITED,27,A2,,,
STIFFENER/SOLE PLATE COMPOSITE MATERIAL,REED MEDICAL LIMITED,27,A20,,,
STIFFENER/SOLE PLATE NON-COMPOSITE MATERIAL,REED MEDICAL LIMITED,27,A22,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE TOE OR HEEL,REED MEDICAL LIMITED,27,A23,,,
ADDITION OF A TIP WITH FLANGE TO PROTECT THE WELT,REED MEDICAL LIMITED,27,A24,,,
ADDITION OF A THIN STICK-ON SOLE,REED MEDICAL LIMITED,27,A25,,,
INCLUSION OF A FLOATED SOLE,REED MEDICAL LIMITED,27,A26,,,
WELTED CONSTRUCTION TO HEELS (PAIR),REED MEDICAL LIMITED,27,A3,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,REED MEDICAL LIMITED,27,A31,,,
SINGLE OR DOUBLE TOE ROUND OR RECTANGULAR SOCKET wo/BACKSTOP,REED MEDICAL LIMITED,27,A37A,,,
INCLUSION OF A SINGLE OR DOUBLE SOCKET w/FRONT OR BACKSTOPS,REED MEDICAL LIMITED,27,A37B,,,
INCLUSION OF A SINGLE OR DOUBLE TOE RAISING/TORSION SOCKET,REED MEDICAL LIMITED,27,A37c,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,REED MEDICAL LIMITED,27,A38,,,
LINED/PADDED DOUBLE DECKER T OR Y STRAP,REED MEDICAL LIMITED,27,A39,,,
STIRRUP/HEEL/TOE RAISING OR CALIPER RETAINING STRAP,REED MEDICAL LIMITED,27,A40,,,
"PROTECTIVE TOE CAP TO COVER FOREPART OF VAMP, WELT OR SOLE",REED MEDICAL LIMITED,27,A41,,,
ADDITIONAL COST OF COVERING INLAY IN SINGLE DENSITY MATERIAL,REED MEDICAL LIMITED,27,A44A,,,
ADDITIONAL COST OF A COVERING INLAY IN DUAL DENSITY MATERIAL,REED MEDICAL LIMITED,27,A44B,,,
ADDITIONAL COST OF COVERING INLAY IN MULTI DENSITY MATERIALS,REED MEDICAL LIMITED,27,A44C,,,
METATARSAL VALGUS OR HEEL PAD OR HEEL WEDGE TO SHOE OR INLAY,REED MEDICAL LIMITED,27,A45,,,
TOE FILLER TO COMPENSATE FOR PART AMPUTATION,REED MEDICAL LIMITED,27,A46,,,
FOREPART FILLER TO COMPENSATE FOR FOREFOOT AMPUTATION,REED MEDICAL LIMITED,27,A47,,,
INDUSTRIAL CONSTRUCTION HEAVY UPPERS HARD WEAR SOLE,REED MEDICAL LIMITED,27,A4a,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE,REED MEDICAL LIMITED,27,A5,,,
COMMANDO TYPE SOLES AND HEELS EXTRA TO A1A A1B A1C,REED MEDICAL LIMITED,27,A6,,,
INSIDE COMPENSATING RAISE FROM 1-25mm,REED MEDICAL LIMITED,27,A8,,,
EACH ADDITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,A9,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm w/RAND,REED MEDICAL LIMITED,27,B1,,,
LOWERING THE UPPER BENEATH THE ANKLE ON ONE SIDE,REED MEDICAL LIMITED,27,B10,,,
ADDITION OF A CUFF TO INCREASE THE UPPER HEIGHT,REED MEDICAL LIMITED,27,B11,,,
EXTENDING THE LACING SECTION,REED MEDICAL LIMITED,27,B12,,,
CONVERT TO VELCRO FASTEN REFACING WHERE NECESSARY PER STRAP,REED MEDICAL LIMITED,27,B13,,,
ADDITION OF LAMBSWOOL LINING OR SIMILAR,REED MEDICAL LIMITED,27,B14,,,
ADDITION OF A HIGH OR ELONGATED STIFFENER,REED MEDICAL LIMITED,27,B15,,,
ADDITION OF A METATARSAL BAR FITTED TO SOLE,REED MEDICAL LIMITED,27,B16,,,
INCLUSION OF A ROCKER SOLE SINGLE DENSITY,REED MEDICAL LIMITED,27,B17,,,
INCLUSION OF A WEDGE FITTED INTO OR ONTO THE SOLE,REED MEDICAL LIMITED,27,B18,,,
INCLUSION OF A FLOATED SOLE,REED MEDICAL LIMITED,27,B19,,,
EACH SUBSEQUENT 25mm OR PART THEREOF TO B1,REED MEDICAL LIMITED,27,B2,,,
INCLUSION OF A SOLE STRIP OR PLATE IN COMPOSITE MATERIAL,REED MEDICAL LIMITED,27,B20,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE SOLE OR HEEL,REED MEDICAL LIMITED,27,B22,,,
ADDITION OF A TIP WITH FLANGE TO PROTECT THE WELT,REED MEDICAL LIMITED,27,B23,,,
ADDITION OF AN EXTERNAL PROTECTIVE TOE CAP,REED MEDICAL LIMITED,27,B24,,,
F/L OR 1/2 ELONGATED OBLIQUE FLOATED WEDGE/TORQUE HEEL,REED MEDICAL LIMITED,27,B25,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm wo/RAND SINGLE ITEM,REED MEDICAL LIMITED,27,B3,,,
SOCKET ONE/BOTH SIDES OF HEEL wo/FRONT/BACKSTOPS,REED MEDICAL LIMITED,27,B30,,,
SOCKET ONE/BOTH SIDES OF HEEL w/FRONT/BACKSTOPS,REED MEDICAL LIMITED,27,B31,,,
TOE RAISING OR TORSION SOCKET,REED MEDICAL LIMITED,27,B32,,,
ADDITION OF A LINED AND PADDED T OR Y STRAP,REED MEDICAL LIMITED,27,B33,,,
ADDITION OF A LINED AND PADDED DOUBLE DECKER T OR Y STRAP,REED MEDICAL LIMITED,27,B34,,,
REBUILDING HEEL IN LEATHER SYNTHETIC MATERIAL,REED MEDICAL LIMITED,27,B35,,,
EXCAVATE INSIDE OF HEEL & APPLY SOFT INSERT,REED MEDICAL LIMITED,27,B36,,,
EACH SUBSEQUENT 25mm OR PART THEREOF TO B3,REED MEDICAL LIMITED,27,B4,,,
METATARSUL OR VALGUS SUPPORT OR HEEL PAD TO B40,REED MEDICAL LIMITED,27,B41,,,
METATARSAL OR VALGUS SUPPORT OR HEEL PAD FIXED TO THE SHOE,REED MEDICAL LIMITED,27,B42,,,
HEEL ELEVATOR IN CORK HDP OR EVA w/SUITABLE COVERING,REED MEDICAL LIMITED,27,B43,,,
